Address;Original;Translation;Comments;
7f49;"event val error!";"";"";
7f98;"A small, reasonably priced
sword. Handles well, but
not especially powerful.";"";"";
7fdb;"A long sword with a steel
blade. Recommended for
serious combat.";"";"";
8027;"A sword from the far east.
Its exquisite curved blade
is extremely sharp.";"";"";
8075;"A sword forged from a unique
alloy. Its blue blade has a
keen cutting edge.";"";"";
80c3;"A golden sword, imbued with
divine fire. It shimmers
with destructive heat.";"";"";
8115;"The strongest sword of all.
Its blade glows, suffused
with the magic of Cleria.";"";"";
816a;"A hard wooden shield with
metal fittings. Not bad, but
also not particularly good.";"";"";
81be;"A small metal shield. Strong
and handles well, but only
of real use to beginners.";"";"";
8211;"A large shield that covers
half the body. Difficult to
handle, but defends well.";"";"";
825e;"A shield made of the finest
iron. Very sturdy, offering
excellent defense.";"";"";
82b4;"A golden shield of immense
strength. Offers protection
against any physical attack.";"";"";
8308;"A shield of Cleria. Offers
top-rate defense, along with
the Goddesses' blessings.";"";"";
8357;"Finely woven chain mail.
Deflects sword strikes, but
is weak to heavy blows.";"";"";
83a6;"A breastplate crafted from
steel, offering good defense
and maneuverability.";"";"";
83fa;"Armor of hammered steel.
Heavy, but fully covers the
body, offering high defense.";"";"";
8448;"Armor made from a unique
metal. Its reflective resin
deflects most attacks.";"";"";
8495;"Golden armor, boasting
superb defense. Weaker
blows can't even scratch it.";"";"";
84e9;"Cleria armor; stronger than
any other. Worn by he who is
chosen by the Goddesses.";"";"";
852f;"Magic of Tovah, priest
of Strength. Transforms
willpower into fire.";"";"";
8573;"Magic of Dabbie, priest of
Light. Illuminates all that
is hidden.";"";"";
85c7;"Magic of Hadal, priest of
Earth. Transports the user
to select towns or villages.";"";"";
8609;"Magic of Mesa, priest
of Time. Freezes the
flow of time itself.";"";"";
865e;"Magic of Gemma, priest of
Knowledge. Makes Adol a Roo,
letting him talk to demons.";"";"";
86ac;"Magic of Fact, priest of
Spirit. Creates a barrier
that none can penetrate.";"";"";
86fd;"A feather cloak worn by
spirits of legend. Brings
healing power to its wearer.";"";"";
874d;"A hawk idol with piercing
blue eyes. Focuses the
power of fire on its target.";"";"";
879f;"A falcon idol with piercing
red eyes. Focuses fire magic
with greater accuracy.";"";"";
87f2;"A shiny ring made of Cleria,
imbued with the power of
the Goddesses' protection.";"";"";
8848;"Has a soft green hue. When
worn, it calms the soul and
soothes away one's troubles.";"";"";
888a;"A ring worn by a Goddess.
Imbued with the power to
purify evil.";"";"";
88cf;"One of the six Books of Ys.
Written by Hadal, the Priest
of Earth.";"";"";
8917;"One of the six Books of Ys.
Written by Tovah, the Priest
of Strength.";"";"";
